Team,Possession,Shots on target,Shots,Touches,Passes,Tackles,Clearances,Corners,Offsides,Goal,Year,Home,Result
Reading,28.0,1,3,391,220,23,25,6,2,0,2012,1,2
Swansea City,72.0,2,10,827,631,12,51,4,1,0,2012,0,2
Stoke City,37.6,5,10,482,284,26,17,6,1,3,2012,1,1
Liverpool,62.4,4,17,718,496,21,40,8,4,1,2012,0,0
Sunderland,33.0,4,12,461,273,21,20,3,1,1,2012,1,1
Manchester City,67.0,7,23,770,579,13,31,7,1,0,2012,0,0
Arsenal,44.2,10,16,604,411,24,26,5,2,7,2012,1,1
Newcastle United,55.8,7,11,711,519,18,20,6,1,3,2012,0,0
Aston Villa,45.9,2,12,621,425,16,26,4,2,0,2012,1,0
Wigan Athletic,54.1,5,9,692,518,16,28,3,2,3,2012,0,1
Fulham,59.4,6,23,719,500,13,16,9,1,1,2012,1,0
Swansea City,40.6,7,10,558,327,18,58,8,0,2,2012,0,1
Manchester United,58.0,7,17,719,492,17,49,9,1,2,2012,1,1
